UF;DESTINO;TIPO;ÍNDICE GERAL;INFRAESTRUTURA GERAL;ACESSO;SERVIÇOS E EQUIPAMENTOS TURÍSTICOS;ATRATIVOS TURÍSTICOS;MARKETING E PROMOÇÃO DO TURISMO;POLÍTICAS PÚBLICAS;COOPERAÇÃO REGIONAL;MONITORAMENTO;ECONOMIA LOCAL;CAPACIDADE EMPRESARIAL;ASPECTOS SOCIAIS;ASPECTOS AMBIENTAIS;ASPECTOS CULTURAIS
GO;Alto Paraíso de Goiás;Não capital;41,4;66,5;38,1;29,5;63;18,1;52,9;42,1;13,5;53,9;6,7;49,4;53,1;38,6
RJ;Angra dos Reis;Não capital;56;47,1;67;40,5;60,5;56,8;45;60;58,5;53;64,6;63,5;60,5;53,8
SE;Aracaju;Capital;52,4;70;63,6;39,3;56,9;46,8;59,4;51,4;22,5;39;44,3;63,6;45,8;62
CE;Aracati;Não capital;39,7;50,5;41;18,5;52,8;12,4;38,3;36,2;13,6;39;37,7;63,9;44,5;63
RJ;Armação dos Búzios;Não capital;46,2;48;45,3;41,2;60,5;62,3;53,2;29,1;28,5;36,5;49,5;44,4;51,6;40,2
SC;Balneário Camboriú;Não capital;63,4;62,6;65,2;58,3;69;64;57,9;51,2;77;39,7;64;77,8;70,5;65,7
AM;Barcelos;Não capital;34,9;43,1;34,6;23,8;63,5;8,8;26,6;38;22,4;44,4;11,3;38,2;55,9;36,9
MA;Barreirinhas;Não capital;40,1;43,8;36,8;29,4;54,2;25;63,1;32,1;19,3;39,5;21,6;57;53,3;43,1
PA;Belém;Capital;63,7;75,4;68,3;61,5;71,1;61,9;44,4;48,2;40,6;65;66,1;64,1;68,7;76,9
MG;Belo Horizonte;Capital;69;80,5;69,2;72,9;57,4;84,5;71,1;16,3;77,3;75;86,1;70,7;69,3;59,7
RS;Bento Gonçalves;Não capital;59,3;77,5;54,8;59,5;63,4;32,3;61,6;61,7;25,4;69;72,6;54,5;64,9;62,3
RR;Boa Vista;Capital;52;64,3;58,7;49,9;40,8;64,4;41,9;21,1;46;42,5;52;67,5;62,7;52,9
MS;Bonito;Não capital;44,5;54,2;55,7;31,5;47,3;50,7;42,1;47,1;3;69,8;24;48,6;53,4;38,1
DF;Brasília;Capital;65,7;65,3;80;60,8;69,6;31,8;49,3;61,1;54,6;76;91,1;61,2;72,7;72,5
MT;Cáceres;Não capital;48;62;58,1;28,8;64,4;16,8;56,2;33,9;25,4;55,4;31,6;61,5;52,4;65,7
GO;Caldas Novas;Não capital;49,9;62,4;51,7;37,9;68,1;20,2;53;41,5;35,3;60,5;60,9;56,9;62,9;29,2
MS;Campo Grande;Capital;50,8;65,6;65,3;42,6;36,1;35,9;41,4;57,1;19,8;73,7;57,2;48,1;52,7;54,4
MS;Corumbá;Não capital;48;61,3;54,8;34,8;54,1;23,1;54,8;44,8;42,9;70,9;40,5;48,3;46,9;44,7
MT;Cuiabá;Capital;59,2;76,5;67,9;48,4;41,8;28,1;71,1;55,3;50,5;76;64,2;73,3;58;57,4
PR;Curitiba;Capital;66,2;85,1;73,5;63,4;65,1;62,2;54,5;37,1;53,8;75;67,9;71,4;79;56,9
MG;Diamantina;Não capital;54,3;70,2;62,2;47,9;55,2;31,8;44,5;60,9;37,1;49,9;44,9;55,1;57,3;77,6
PE;Fernando de Noronha;Não capital;46,9;75,3;32,1;30,9;62,8;64,2;28;26,2;49;52,4;22,3;48,7;75,6;39
SC;Florianópolis;Capital;62,9;78,3;67,1;65,5;57,8;35,6;69,4;55,8;33,5;74,3;76,7;68,8;64,4;57,6
CE;Fortaleza;Capital;60,6;75,5;76,2;60,6;54,6;37,1;47,7;40;52,8;72,5;80,1;68,6;44,2;63,2
PR;Foz do Iguaçu;Não capital;66,3;70,6;74,1;66,5;71,5;67,5;58;63,2;72,5;63,5;67;55,3;74,9;49,6
GO;Goiânia;Capital;60,6;72,8;66,7;57,8;48,7;21,4;57,6;64,8;43,3;62;76,5;72,1;68,4;70,4
RS;Gramado;Não capital;55,2;66,4;59,2;58,2;71,6;41,1;53,6;23,1;19,3;77,5;59;52,4;53;62,5
SP;Ilhabela;Não capital;52,3;60,3;53,2;44;42;61,3;72,5;64;54,3;42,9;24,6;71,1;55,7;37,7
