UF;DESTINO;TIPO;ÍNDICE GERAL;INFRAESTRUTURA GERAL;ACESSO;SERVIÇOS E EQUIPAMENTOS TURÍSTICOS;ATRATIVOS TURÍSTICOS;MARKETING E PROMOÇÃO DO TURISMO;POLÍTICAS PÚBLICAS;COOPERAÇÃO REGIONAL;MONITORAMENTO;ECONOMIA LOCAL;CAPACIDADE EMPRESARIAL;ASPECTOS SOCIAIS;ASPECTOS AMBIENTAIS;ASPECTOS CULTURAIS
PE;Ipojuca;Não capital;37,9;60,3;37,2;21,5;55,1;27,2;37,9;12,1;33,6;58,8;26,1;51,2;26,1;39,2
CE;Jijoca de Jericoacoara;Não capital;33,3;48,5;39;31,3;52,4;12,8;17,6;37,6;0;47,6;11,9;38,7;49,8;27,5
PB;João Pessoa;Capital;67,7;78,4;65,7;62,1;59;77,4;69;61,1;77,8;63,5;76,9;68,4;68;54,9
BA;Lençóis;Não capital;49,9;70,4;35,8;29;68;14,8;56,3;67,8;44,3;56,4;42;55,5;63,4;51,5
AP;Macapá;Capital;47,7;50,5;49,2;48,7;48,4;27,8;51,6;24,5;35,8;51,5;46,3;54,8;66,6;59
AL;Maceió;Capital;55,9;61,6;63;66;59;44,3;52;29,6;25,5;62,5;70,6;45;64,3;63,9
AM;Manaus;Capital;63,8;70,2;68;62,3;66,4;53,5;45,4;51,1;38,8;71;90,9;56,9;68,8;74,6
AL;Maragogi;Não capital;44;54,5;30;34,2;60,8;29;48,2;65,7;23,6;53,2;37,2;49,5;58,3;30,1
BA;Maraú;Não capital;41,4;37,3;35,1;23,3;54,4;49,7;54;70,9;14,8;44,6;16,2;43,4;44;57,3
BA;Mata de São João;Não capital;44,7;45,7;52,3;21,6;66,6;27,9;46,2;62,1;34,3;36,5;28,6;61,5;53,4;42,5
TO;Mateiros;Não capital;29,3;29,2;21,2;34,9;57,9;13,4;34,3;31,5;18,3;14;6;28,1;49,2;35,7
RN;Natal;Capital;59,2;58,8;61,6;68,4;53,1;41,9;48,7;68,5;26,1;53;78,1;69,6;70,5;60,2
CE;Nova Olinda;Não capital;31,6;59,8;24,2;5,5;39,2;0;26,4;62,5;0;47,6;8,6;34;48,1;56,8
MG;Ouro Preto;Não capital;62,6;59,2;51,1;45;75,7;75,8;66;68,3;58;48;60,2;63,9;66,1;85,4
TO;Palmas;Capital;47,2;71,4;59,8;33,9;37,4;14;52,6;20;57,5;47;57,8;38,6;71,7;44,3
PR;Paranaguá;Não capital;54;72,4;45,5;40,3;57,5;40,1;62,3;52;41,3;65,2;51,2;58,4;61,4;55,6
RJ;Paraty;Não capital;44,6;67;64,5;40,2;62,3;26,2;26;1,6;0;52,4;33,4;49,1;49,2;71,2
AM;Parintins;Não capital;45,4;46,9;32,2;42,9;58;17,6;44;49,1;50,8;53,5;40,4;65,1;51,9;47,3
PI;Parnaíba;Não capital;41,2;60,2;52,2;38,5;52,6;7,2;38,8;7,7;3;44,7;38,2;61;51,2;54,6
RJ;Petrópolis;Não capital;56,7;60,1;68,1;41,8;68,3;32,7;53,9;44,9;52,4;54;59,2;61,9;67,4;66,2
GO;Pirenópolis;Não capital;52,7;60,3;41,6;40,8;61,2;55,7;62,1;62;40;64,4;28,3;53,4;58,9;62,1
RS;Porto Alegre;Capital;63,6;79,2;78,1;65,9;60,8;34,6;63,7;31,8;43;66;89,5;67,8;66,3;58,2
BA;Porto Seguro;Não capital;59,1;60,4;68;52,6;67,6;42,8;70;61;47;53;55;59,8;66,7;57,7
RO;Porto Velho;Capital;42,8;48,9;56,4;29,5;38,8;23,9;45;43;0;48,2;55,6;57,4;56,6;40,1
PE;Recife;Capital;70,9;77,5;67;69,7;64,4;82,3;71,5;57,2;71,9;69,5;90,9;63,4;58,6;77,7
AC;Rio Branco;Capital;46,6;63,5;57,2;36;45,6;15,4;50,1;38,3;7,4;68,5;49,6;54,6;60,7;45,2
RJ;Rio de Janeiro;Capital;69,7;80,6;81;67;85,3;62,6;61,2;26,3;62,8;77,5;91,1;58,5;62,8;69,6
BA;Salvador;Capital;72,8;77,1;81,7;65,6;84,6;70,5;60,3;59,9;43,3;70;90,9;69,1;71,5;84,8
PA;Santarém;Não capital;49,6;59,3;62,1;49,7;53,4;24,7;40;49;58,6;43,5;47,2;56,7;51,3;40,6
SC;São Joaquim;Não capital;37,8;66,8;48,6;25,9;44,8;22,4;38,2;25,4;3;59;24,7;48;26,4;37
MA;São Luís;Capital;57,4;59,1;56,2;58,7;61,2;34,2;50,7;40,9;40,3;66;74,5;64,1;65,8;69,6
SP;São Paulo;Capital;72;82,8;88,2;79;71,6;74,6;66,6;32,6;60;75;92,2;61,2;66,3;61,8
PI;São Raimundo Nonato;Não capital;34;57,4;23,3;17,4;69,6;12;28,5;7,5;0;33,9;28;49,1;54,3;45,3
PI;Teresina;Capital;45,7;55,7;56,5;42,3;40,8;21;41,6;12,4;3;53,5;68,5;67,3;65,1;46,4
RN;Tibau do Sul;Não capital;39,4;46,3;39,6;33,8;40,6;15,4;50,8;66,6;20,8;27;19,2;54;67,1;29,8
MG;Tiradentes;Não capital;45,3;64,5;49,8;28;62,2;26,1;37;49,1;20,6;60,4;26;44,4;59,6;50,8
ES;Vitória;Capital;61,4;80,4;60,5;55,9;53,2;63;68,1;52,6;50,3;73,5;61,7;56,4;53,4;65,1
