UF;Destino;Tipo;ÍNDICE GERAL;INFRAESTRUTURA GERAL;ACESSO;SERVIÇOS E EQUIPAMENTOS TURÍSTICOS;ATRATIVOS TURÍSTICOS;MARKETING E PROMOÇÃO DO TURISMO;POLÍTICAS PÚBLICAS;COOPERAÇÃO REGIONAL;MONITORAMENTO;ECONOMIA LOCAL;CAPACIDADE EMPRESARIAL;ASPECTOS SOCIAIS;ASPECTOS AMBIENTAIS;ASPECTOS CULTURAIS
MG;Ouro Preto;Não capital;67,2;60,5;61,7;47,8;76,0;71,0;65,4;77,6;64,3;62,1;67,5;77,0;69,9;83,5
TO;Palmas;Capital;55,3;79,2;63,2;42,5;36,7;26,2;55,1;48,0;53,1;54,9;71,7;49,9;80,2;54,1
PR;Paranaguá;Não capital;58,6;76,7;48,3;46,7;61,1;44,0;64,4;65,2;33,0;64,4;55,7;63,2;74,8;63,1
RJ;Paraty;Não capital;51,9;64,2;69,1;41,6;65,9;61,7;31,1;49,1;4,9;46,9;40,5;48,3;54,6;69,9
AM;Parintins;Não capital;46,8;48,2;36,6;39,4;61,8;27,7;56,8;47,5;47,1;46,8;42,9;58,5;51,5;50,1
PI;Parnaíba;Não capital;42,5;60,7;59,7;35,4;54,5;18,4;43,1;33,7;4,6;33,5;41,4;45,1;51,2;44,5
RJ;Petrópolis;Não capital;59,6;65,2;69,9;47,4;71,0;42,3;56,9;54,6;49,6;62,3;56,5;54,4;70,6;65,9
GO;Pirenópolis;Não capital;53,8;60,9;50,2;45,8;64,0;43,4;67,1;57,3;36,4;67,3;26,8;57,3;50,5;71,6
RS;Porto Alegre;Capital;71,1;83,0;83,5;77,8;65,0;59,2;72,6;39,3;39,8;85,6;90,6;70,5;74,0;61,2
BA;Porto Seguro;Não capital;57,5;56,4;69,3;61,2;62,4;42,4;65,6;58,6;24,7;47,5;65,5;49,8;73,8;53,0
RO;Porto Velho;Capital;51,3;56,0;60,4;31,2;43,0;32,7;60,7;45,9;12,6;62,7;71,3;62,9;71,3;51,5
PE;Recife;Capital;74,1;83,5;75,4;73,9;71,9;71,3;76,0;56,0;76,5;73,5;90,0;69,7;65,7;75,3
AC;Rio Branco;Capital;52,9;61,7;66,0;48,5;48,2;20,5;50,0;42,7;7,3;76,1;59,8;63,7;72,1;54,7
RJ;Rio de Janeiro;Capital;74,0;84,6;88,1;78,3;86,6;55,8;63,5;25,4;56,4;81,2;94,7;70,9;77,0;73,5
