UF;DESTINO;TIPO;ÍNDICE GERAL;INFRAESTRUTURA GERAL;ACESSO;SERVIÇOS E EQUIPAMENTOS TURÍSTICOS;ATRATIVOS TURÍSTICOS;MARKETING E PROMOÇÃO DO TURISMO;POLÍTICAS PÚBLICAS;COOPERAÇÃO REGIONAL;MONITORAMENTO;ECONOMIA LOCAL;CAPACIDADE EMPRESARIAL;ASPECTOS SOCIAIS;ASPECTOS AMBIENTAIS;ASPECTOS CULTURAIS
RR;Boa Vista;Capital;56,8;66,7;63,9;58,9;60,7;41,8;56,7;37,4;22,9;57,2;65,2;62,3;67,7;52,2
MS;Bonito;Não capital;59,4;57,1;58,3;55,9;77,6;60,6;67,1;79,5;25,4;59,9;48;64,1;70,4;43,6
DF;Brasília;Capital;75,2;82,8;92,4;71,7;73,2;62,8;69,4;27,1;71,4;89,1;91,5;67,5;78,9;71,4
MT;Cáceres;Não capital;52,6;69,7;57,9;43,2;61,6;28,6;55,7;44,8;3,3;49,3;57,7;59,6;58,8;70,6
GO;Caldas Novas;Não capital;54,1;61,1;53,2;50,8;63,8;29,7;50,8;43;34,7;67,8;62,4;62,1;70,3;41,9
MS;Campo Grande;Capital;65,3;78,9;71,3;79,3;54,7;40,9;55,9;62;13,4;77,1;81,8;56,7;71,5;83,2
MS;Corumbá;Não capital;58,6;71;57,2;44,6;65,3;39,3;71,6;58,4;55,6;63,6;53,3;54,5;67,1;59,8
MT;Cuiabá;Capital;61,8;73,3;69,1;64,5;54,4;29,6;68,5;57,5;1,3;75,3;87,1;60,7;69,2;71,9
PR;Curitiba;Capital;77,9;86,7;82,1;75,1;85,1;57,3;82,1;64,3;62,6;81,9;91,4;79,3;90,9;59,7
MG;Diamantina;Não capital;59,6;80,7;62,7;48,7;57,3;60,7;53,6;72,7;28,1;45,8;53,9;61;65,4;75,7
PE;Fernando de Noronha;Não capital;54,3;76,9;43,1;43,9;72;61,7;48;43,3;31;50,5;21,1;78,9;72,9;42,5
SC;Florianópolis;Capital;74,2;85,7;82;81,2;71,3;47,9;79,8;56,9;47,7;75,6;92;69,4;75;79,4
CE;Fortaleza;Capital;68,5;78,6;78,6;76,6;59,3;46,6;60,9;46,1;43,2;78,6;88,3;57,5;82,6;71
PR;Foz do Iguaçu;Não capital;76,9;76,5;76,1;77,1;86,6;89,9;64,3;66,1;84,1;80,2;82,5;76,1;84,4;51,8
GO;Goiânia;Capital;67,4;73,8;72,9;75,7;48,6;36,2;64,6;63,9;68,7;80,9;88,8;60,5;71,3;70,3
RS;Gramado;Não capital;65,2;80,9;69;70,5;65,9;56,5;66,7;46,6;33,6;71,8;60,6;66,7;69,6;62,5
SP;Ilhabela;Não capital;58,8;75,3;52,4;67,6;59,6;56,7;73,7;34,7;40,8;48,6;41,6;64,8;74,2;48,8
PE;Ipojuca;Não capital;49,5;56,9;47,8;50;62,8;36,4;39,6;29,4;36,6;73,4;52,4;40,1;56,5;45,4
CE;Jijoca de Jericoacoara;Não capital;44,5;47,6;44,2;45,2;53;54,2;33,4;60;12,4;31,6;27,1;60,7;65,7;35,1
PB;João Pessoa;Capital;70,5;80;72,4;67,5;63,4;73,4;67,3;33,4;75,9;71,3;91,9;64,6;76,8;64,1
BA;Lençóis;Não capital;53;71;56,4;46;62,9;33,5;55,5;60,1;37,2;40,7;35,1;50,2;67,7;61,5
AP;Macapá;Capital;52,1;54,2;60,8;43,6;53,2;28,9;55;52,2;22,8;54,3;64;54,2;65,8;60
AL;Maceió;Capital;67,2;74,1;72,7;76,8;58,2;52,5;68,6;53,1;35,5;69,6;84,7;62,6;75;71,6
AM;Manaus;Capital;67,6;70,4;79,3;75,5;76;49,2;51,9;29,9;29,3;83,1;91,7;63,7;78;66,3
AL;Maragogi;Não capital;46,1;48;34,6;43,4;58,4;46,1;63,2;54,9;15,6;40,3;30,7;51,7;65,4;42,7
BA;Maraú;Não capital;43,1;43,6;24,2;35,9;55,7;35,9;57,8;74,8;17,2;45,6;23,1;55,8;50,1;53,8
BA;Mata de São João;Não capital;55,6;59,3;60,2;42,1;67,9;60,8;52;38,7;29,2;58,3;37,5;70,8;72,6;54,1
TO;Mateiros;Não capital;32,9;33,2;27,6;22,4;60,8;28,9;29,9;21,8;8,6;46,3;12;39,7;50;32,3
RN;Natal;Capital;65,1;80,1;76,1;73,5;53,9;51,7;53,5;58,1;22,1;69,2;89,9;56,3;79;61,1
CE;Nova Olinda;Não capital;41,8;57,7;33,6;32,4;51,9;34,6;37,5;67;15,9;44,5;17,7;35,9;56,7;58,8
MG;Ouro Preto;Não capital;67,5;71,8;57,5;55,3;75,1;60;58,1;66,2;75,7;76,3;64,5;71;67,2;86,4
TO;Palmas;Capital;56,3;73,3;66,7;62,6;45,2;32,3;39,4;24;15,8;67,3;71,1;59,7;83,3;57,7
PR;Paranaguá;Não capital;65,6;72,5;62,1;63,3;64,3;49,1;64,7;78,9;68,1;68,8;59,3;63,8;69,9;74,9
RJ;Paraty;Não capital;48,9;51,4;60;44,6;64,9;41,1;46,4;26,6;3,8;50,2;46,8;43,7;50,6;74,2
AM;Parintins;Não capital;45,4;49,3;42,1;49,1;63,4;28,6;54,7;15,1;34;44,4;43,6;50,4;47,6;45,8
PI;Parnaíba;Não capital;43,9;57,4;51,7;44,6;47,4;13,4;40;45,7;11,5;46,4;44,5;39,7;60,2;51,9
RJ;Petrópolis;Não capital;70,4;69,5;74;61,2;78,4;76,8;69,3;55,5;52,7;75,6;62,9;77,1;76,3;72,4
GO;Pirenópolis;Não capital;56,5;57,7;49,8;55;62,5;59;70,8;64,9;42,9;52,5;29,8;62,4;47,3;78,5
RS;Porto Alegre;Capital;80;83;91,1;83,3;61,6;88,4;75,8;42,9;66,7;91,9;94,5;77,9;80,5;79,9
BA;Porto Seguro;Não capital;56,4;58,9;66,3;63;56;52,5;55,1;48,4;16,7;52,8;67,8;48,9;69,8;56,5
RO;Porto Velho;Capital;55,4;65,5;63,7;46,5;53,7;26,9;57,7;29,5;37,1;63,1;79,2;54,6;60,8;65,4
PE;Recife;Capital;76;81,5;83,3;82,8;77,8;60,7;70;46,3;63,7;80,4;91,7;65,1;75,4;87,2
AC;Rio Branco;Capital;59,4;68,9;67,3;64,5;58;29,6;54;64,9;16,6;71,3;68,2;61,8;69;62,4
RJ;Rio de Janeiro;Capital;78,5;82,7;91,5;85,7;87;58,5;60,6;39,3;59,3;94,2;96;65;80,9;87,8
BA;Salvador;Capital;75;77,2;87,5;78;77;54,2;64,1;50,6;58,9;78,7;91,2;72,1;74,5;90,6
PA;Santarém;Não capital;55,6;53,4;68,7;48,7;59,6;46,9;61,7;41,4;73,1;51,4;65,1;47,9;42,9;58,2
SC;São Joaquim;Não capital;49,8;71,4;60,2;32;63,5;48,9;53,2;45,2;12,1;58,4;34,2;57,7;37,5;49,3
MA;São Luís;Capital;69,3;82,9;66;70,7;56,2;74,7;60,2;37,4;54;77,2;89,5;69,7;66,1;80
SP;São Paulo;Capital;82,5;83,8;93,2;93,6;84,6;84,2;83,6;29,6;84,5;94,4;94,6;72,6;75,7;66,8
PI;São Raimundo Nonato;Não capital;40,3;63,5;33,2;37,2;77,2;25,8;13,3;11,7;9,2;38,3;36;43,9;55,8;45,1
PI;Teresina;Capital;58,8;61,9;69,2;58,3;58,7;41,9;59,2;29,8;23,4;71,7;79,5;56,6;66,6;61,7
RN;Tibau do Sul;Não capital;42,2;49,2;47,2;41,8;54;29;44,7;37,2;8,1;45,9;12,2;52,1;66,8;37,4
MG;Tiradentes;Não capital;51;62,7;58,2;41,2;62,1;35,9;28,7;77,6;12,6;57,4;29,3;53,7;67,7;68,8
ES;Vitória;Capital;73,2;84,5;68,9;68,4;60,8;59,3;71,6;66,7;64;86,4;90,3;67;79,7;85,2
