UF;DESTINO;TIPO;ÍNDICE GERAL;INFRAESTRUTURA GERAL;ACESSO;SERVIÇOS E EQUIPAMENTOS TURÍSTICOS;ATRATIVOS TURÍSTICOS;MARKETING E PROMOÇÃO DO TURISMO;POLÍTICAS PÚBLICAS;COOPERAÇÃO REGIONAL;MONITORAMENTO;ECONOMIA LOCAL;CAPACIDADE EMPRESARIAL;ASPECTOS SOCIAIS;ASPECTOS AMBIENTAIS;ASPECTOS CULTURAIS
GO;Alto Paraíso de Goiás;Não capital;45,3;62,4;42,8;38,9;62,9;31,8;63,5;29,5;17;39,6;22,9;47,9;52,7;52,1
RJ;Angra dos Reis;Não capital;60,4;68,5;61,1;62,7;59,4;45,9;63,4;29,1;40,9;71,4;64,2;54,2;71,1;71,9
SE;Aracaju;Capital;63,9;81,6;72,1;66,8;56,9;53;65,3;56;34,3;61,7;83,7;56,8;69,8;54,6
CE;Aracati;Não capital;48,4;58,8;41,9;44,5;55,5;37,4;52,4;26,7;25,2;49,2;47,8;59,7;52,3;61
RJ;Armação dos Búzios;Não capital;53,7;57,1;45,1;59,1;59,3;59,4;64,1;42,4;17,8;69,4;52,5;47,9;74,3;33,6
SC;Balneário Camboriú;Não capital;69,9;78,7;76,8;72,4;63,9;64,3;58,7;71,1;63,4;61,3;69;83,4;74,1;64,7
AM;Barcelos;Não capital;35,4;55,6;39;33,2;52,2;4,2;40,4;19,1;0;35,5;20,5;38,5;51,1;40,6
MA;Barreirinhas;Não capital;45,5;62,9;32,8;44;56,1;33;56,8;57;19,8;36,1;44;42,6;62,2;39,8
PA;Belém;Capital;63,8;63,5;79,4;69,2;69,7;44,6;50,7;42;15,8;65,2;85,1;64,3;63,5;86,2
MG;Belo Horizonte;Capital;78,5;83,8;79,7;82;74,2;81,6;79,5;62,7;77;85,6;94,5;67,7;77,8;66,5
RS;Bento Gonçalves;Não capital;71,3;77,8;64,1;74,9;64;81,7;67,5;90,1;53,5;85,2;69,8;77,9;57,2;68,9
