UF;DESTINO;TIPO;ÍNDICE GERAL;INFRAESTRUTURA GERAL;ACESSO;SERVIÇOS E EQUIPAMENTOS TURÍSTICOS;ATRATIVOS TURÍSTICOS;MARKETING E PROMOÇÃO DO TURISMO;POLÍTICAS PÚBLICAS;COOPERAÇÃO REGIONAL;MONITORAMENTO;ECONOMIA LOCAL;CAPACIDADE EMPRESARIAL;ASPECTOS SOCIAIS;ASPECTOS AMBIENTAIS;ASPECTOS CULTURAIS
AM;Parintins;Não capital;49;53,2;45,9;53,2;66,6;41,7;63,1;9,9;40,7;49,2;39,9;54,1;46,9;47,2
PI;Parnaíba;Não capital;43;58,8;53,4;43,6;46,8;14,5;43,2;38,5;9,3;42,6;39,1;39,7;62,4;44,5
RJ;Petrópolis;Não capital;66,4;67,9;69,8;56,8;76,1;64;60,4;44;49,8;71,2;64,3;73;80;71,1
GO;Pirenópolis;Não capital;53,6;57,4;54,3;49;62,8;52,1;75,5;63;25,2;51,3;24,2;55,1;47,7;72,3
RS;Porto Alegre;Capital;79,8;83,4;90,1;84,7;65,1;78,7;79,8;52,6;66,8;92,8;94;77;77,2;76,3
BA;Porto Seguro;Não capital;56;46,4;65,4;72,6;58,2;45;64;38,3;9;51,1;69,6;54,7;74;50,1
RO;Porto Velho;Capital;55,4;71,9;59,5;43;48,7;36,3;53,3;24,6;54,7;62,9;76,9;59;59,8;56,3
PE;Recife;Capital;75,9;84,1;81,8;82,1;76,9;61,7;60,9;34,8;64,4;84,8;92,8;73,6;78,4;82,3
AC;Rio Branco;Capital;58,4;61,8;73,9;60,8;59,6;16,6;47,8;74,7;2,2;74,4;68,7;72,2;76,5;55,2
RJ;Rio de Janeiro;Capital;78,7;85,2;89,4;85;83,9;57,8;66,9;49,1;58,5;95,7;95,4;64;82,6;83,5
BA;Salvador;Capital;74;82,4;85,9;76,1;76,5;53,6;64;36,1;46,5;82,6;90,9;71,6;77,1;86,7
PA;Santarém;Não capital;54,8;46,9;66,3;43,7;63,2;53,6;56,3;45,4;76,9;48;61,4;50,3;44,3;56,7
SC;São Joaquim;Não capital;48,9;75,4;64,9;31,5;61,3;46,9;50,9;32,8;20,2;65,3;30,9;51,2;34,7;43,4
MA;São Luís;Capital;67,3;79,4;61,1;69,9;52,1;66,1;57,7;27;62,3;77,4;91,3;70,9;69,3;74,9
SP;São Paulo;Capital;80,3;82,7;90,9;91,3;80,7;81,8;79,8;25,6;78,7;96,2;94,3;71,6;73,9;64,3
PI;São Raimundo Nonato;Não capital;40,8;61,4;37,3;30,8;73,4;24,5;25,9;0;0;44,9;33,1;51,6;60,8;48,5
PI;Teresina;Capital;55;59,4;68;53,6;56,4;35,7;57,5;25,5;8;70,9;80,5;44,2;72,7;50,9
RN;Tibau do Sul;Não capital;41,3;54,1;48,1;45,8;53,9;27,5;38,9;25,4;10,5;42,7;10,1;47,6;68,5;34,6
MG;Tiradentes;Não capital;53,6;67,3;61,9;42,9;61,3;44,5;30,1;73,5;20,3;65,1;32,1;60,5;67,6;64,5
ES;Vitória;Capital;73,9;84,3;68,2;67;60,3;61,2;79,4;75,8;77;87,3;90,2;66,1;72;81,3
