UF;DESTINO;TIPO;ÍNDICE GERAL;INFRAESTRUTURA GERAL;ACESSO;SERVIÇOS E EQUIPAMENTOS TURÍSTICOS;ATRATIVOS TURÍSTICOS;MARKETING E PROMOÇÃO DO TURISMO;POLÍTICAS PÚBLICAS;COOPERAÇÃO REGIONAL;MONITORAMENTO;ECONOMIA LOCAL;CAPACIDADE EMPRESARIAL;ASPECTOS SOCIAIS;ASPECTOS AMBIENTAIS;ASPECTOS CULTURAIS
GO;Alto Paraíso de Goiás;Não capital;43,3;68,4;46,8;35,1;66;29;60,1;28,7;16,2;33,2;19,9;36;48,4;46,5
RJ;Angra dos Reis;Não capital;61,7;56,5;63,8;62,6;58,2;59,4;63,1;29,9;51,2;72,7;66,5;58;76,4;68,7
SE;Aracaju;Capital;62,8;78;76,5;62,4;53,9;55,3;60;47,6;27;61,5;84,8;57,5;64,4;60,8
CE;Aracati;Não capital;45,3;61,3;46;37,5;54,6;29,7;49,4;31,4;12,8;49,6;40,2;55;49,3;52,3
RJ;Armação dos Búzios;Não capital;53,7;60;44,4;57,3;58,3;51,3;62,9;36,4;32,3;65,2;56,8;52,9;73,8;33,7
SC;Balneário Camboriú;Não capital;67,7;74,4;73,4;72,6;62,6;62,7;64,3;60,6;67,3;56,5;64,9;75,4;75,7;58,9
AM;Barcelos;Não capital;36,3;62,5;43,3;34,2;53,9;4,2;37,9;13,7;0;37,8;17,3;41,1;55,5;35
MA;Barreirinhas;Não capital;47;65,1;34,3;48,4;60,1;30,5;66,5;49,5;26,4;31,8;38,4;44,8;67,5;37,7
PA;Belém;Capital;62,5;62,5;79,2;60,4;70,1;50,9;53,7;27,8;15,8;59;86,5;65,4;60,9;82,3
MG;Belo Horizonte;Capital;77;80,9;80,7;80,7;67;81,1;77,4;67,7;77,4;84,5;93,2;64;76,9;64
RS;Bento Gonçalves;Não capital;69,3;78,3;68,4;73;65,9;66,5;67,3;81,4;45,5;87,1;72,3;75,8;54;64
RR;Boa Vista;Capital;53,1;60,8;60,6;57,7;62,7;43,1;54;29,9;17,2;48,5;60,8;53,7;62,9;47,3
MS;Bonito;Não capital;57,6;58,5;62,9;50;74,6;58;66,8;69,5;23,3;61,4;48,7;59,8;67,3;39,2
DF;Brasília;Capital;72,1;79,9;90,4;69,3;74,4;54,9;68,2;33,6;54,5;86,3;92,1;62,4;78,1;63,4
MT;Cáceres;Não capital;52,2;71,7;59,6;42,5;64,5;25,6;53,5;54,1;3;49,1;58,4;56;53,2;65
GO;Caldas Novas;Não capital;56,7;61,8;54,8;47,2;67,7;35,7;59,6;44,8;43,4;71,5;57,8;69,1;74,6;41,6
MS;Campo Grande;Capital;62,1;75,4;71,7;68,7;50,9;42,4;51,9;54,1;17,5;69,1;81,7;57,2;66,1;78,6
MS;Corumbá;Não capital;57,7;75,2;61,5;35,1;69,2;37,3;62,4;60,7;47,7;64,7;54,9;58,9;61;59,1
MT;Cuiabá;Capital;59,6;75,7;66,4;57,3;57,4;24,8;57,9;47,4;0;80,1;88,3;60,2;66,9;66,6
PR;Curitiba;Capital;76;84,9;78,1;73,1;80,3;49,2;75,2;55,3;77,2;84,9;91,9;82,6;83,6;61,4
MG;Diamantina;Não capital;59;80,2;64,3;52,9;57,8;58,8;48,5;62,1;31,7;44,5;47,9;64,7;69,4;68,7
PE;Fernando de Noronha;Não capital;53,4;79,6;36;43,7;70,4;61;46,7;42,7;36,4;51,1;21,3;76,5;70,3;47,1
SC;Florianópolis;Capital;75,2;85;82,9;81,1;68,8;59,5;84,1;65,9;47,7;72,7;91,7;69,1;79,7;70,2
CE;Fortaleza;Capital;69,1;76,6;78,4;72,8;62,2;46;69,8;55,9;50,5;80;87,3;59,3;76,4;68,3
PR;Foz do Iguaçu;Não capital;75,9;73,8;73,9;73,8;84;85,4;71,6;61,2;85,9;84,3;83,6;74,8;83,4;47,9
GO;Goiânia;Capital;67,7;65,7;73,7;73,1;46;46,1;73,5;53,8;76;75,7;88,2;70,1;75,1;62,3
RS;Gramado;Não capital;66,3;80,9;70,4;71,3;67,3;56,2;69,2;34,1;42,1;74,2;66,8;70,7;71,6;58,7
SP;Ilhabela;Não capital;56,8;78,3;53,3;64;54,8;43;78,1;43,4;40,1;39,2;38,4;64,4;76,3;43,5
PE;Ipojuca;Não capital;49,6;61,7;46;48,4;66,3;33,8;32,6;23,3;35,9;74,9;55;46,2;59;44,9
CE;Jijoca de Jericoacoara;Não capital;44,8;54,1;48,5;43,8;55,4;51,4;31,3;48,4;7,1;27,4;27,8;61,8;69,1;36,6
PB;João Pessoa;Capital;68,7;84,4;72,3;66,7;59,7;65,6;63,1;32,4;71,6;72,4;93,8;64,1;71,8;56,6
BA;Lençóis;Não capital;55,3;77,3;60,6;43;63,7;38,4;56,3;55,7;44,1;41;41,9;57,8;72;54,8
AP;Macapá;Capital;51,3;58,5;58,1;44,9;59,9;21,8;55,9;40,7;14,3;45,6;64,4;57,8;67,5;56,5
AL;Maceió;Capital;65,2;66,9;70,2;76,6;57,1;40,8;60,4;49,4;49,3;72,7;86,2;57,7;77,6;67,7
AM;Manaus;Capital;67,4;69,9;75,3;75,9;73,2;48,6;43,6;39,5;39;82;93,1;59,4;82,2;68,5
AL;Maragogi;Não capital;43,9;49,3;39;33,9;61,2;38,6;56,6;54,3;13;38,5;28;48;71;34,4
BA;Maraú;Não capital;45,1;49,7;24,8;42,2;55,4;42,4;58,4;63,1;28,1;47,3;24,2;57,7;51,4;51,2
BA;Mata de São João;Não capital;53,9;56,4;56,6;39,4;71,2;58,4;49,9;27,5;28,5;61,4;35,7;72,9;73,8;49,2
TO;Mateiros;Não capital;34,2;37,6;31,1;23,9;64,4;26,6;34,9;18,7;19,1;53,9;9,7;29,6;53,6;29,2
RN;Natal;Capital;63,4;79,3;76;73,4;52,4;45,9;50,1;53;36,8;72,8;91;43,4;73,7;54,1
CE;Nova Olinda;Não capital;41,6;62;33,6;25,5;49;47,5;36,3;71;13,7;50,5;15;31,1;56,9;56,6
MG;Ouro Preto;Não capital;64,3;68,9;62,3;52,7;74,7;48,2;58,7;63,2;69,5;75;56,3;60,2;69,8;81,2
TO;Palmas;Capital;53;76,6;62,3;57,9;42,5;28,3;29,9;13,1;26;62,1;72,7;49;81,8;51,3
PR;Paranaguá;Não capital;66,7;75,3;57,9;59,9;67,2;51,2;69,9;73,6;66,8;70,2;63,2;72,2;70,1;77,8
RJ;Paraty;Não capital;50,6;55,7;60,3;42,7;68;43,3;44,4;30,7;19,6;53,5;38,9;45,3;57,1;73,2
