UF;DESTINO;TIPO;ÍNDICE GERAL;INFRAESTRUTURA GERAL;ACESSO;SERVIÇOS E EQUIPAMENTOS TURÍSTICOS;ATRATIVOS TURÍSTICOS;MARKETING E PROMOÇÃO DO TURISMO;POLÍTICAS PÚBLICAS;COOPERAÇÃO REGIONAL;MONITORAMENTO;ECONOMIA LOCAL;CAPACIDADE EMPRESARIAL;ASPECTOS SOCIAIS;ASPECTOS AMBIENTAIS;ASPECTOS CULTURAIS
GO;Alto Paraíso de Goiás;Não capital;43,6;63,7;40,4;31,9;66,6;25;55,1;41,8;20;44;14,4;51,6;55,2;45,7
RJ;Angra dos Reis;Não capital;55,7;51;67,9;42,3;62,3;36,4;47,6;61,5;55,8;54,6;64,2;64,3;62,6;52,4
SE;Aracaju;Capital;56,4;67;67,9;41,8;58,4;42,1;61,9;52,6;29,5;49,8;81,4;62,6;50,4;55,2
CE;Aracati;Não capital;42,6;53,4;42;22;54,1;20,9;42,5;45,9;16,9;46,7;48,2;48,3;48,4;61,8
RJ;Armação dos Búzios;Não capital;46,7;51;48,1;40,6;60,4;55,1;51,5;30,3;23,9;46,2;50,5;46,6;53,8;37,7
SC;Balneário Camboriú;Não capital;62,9;66,7;67;62,6;67,2;61;63,4;51,8;74,8;41,6;62,8;69,9;65;59,5
AM;Barcelos;Não capital;34;40,2;34,8;13,1;63,2;11,5;30;37;22,2;48,6;13,9;40,2;55,9;29
MA;Barreirinhas;Não capital;41,1;45,2;38;30,5;62,2;25,2;64,2;38,3;19,5;37,6;17,4;54,9;54,3;42
PA;Belém;Capital;66,3;73,2;70,3;63,6;73,2;64,3;47,3;49,2;46;65,4;77,8;66,2;74,4;77,7
MG;Belo Horizonte;Capital;72,6;80,6;73,1;72;60,3;88,7;69,1;50,5;74,5;78,5;89,8;72,3;70,1;61,4
RS;Bento Gonçalves;Não capital;60,3;75,5;57,9;61,4;64,6;35;64,6;63,3;30,6;70,7;64,9;59,5;66,4;59,3
RR;Boa Vista;Capital;52,1;65,9;61,2;52,5;45,9;63,4;44,4;28;31,5;36,1;56;56,7;64,7;52,1
MS;Bonito;Não capital;48;55,4;57,4;34,8;65,9;47,1;47,7;46,8;6,1;63,4;37,2;51,9;55,8;38
DF;Brasília;Capital;69,4;75,7;85,4;63,3;75;35,9;50,9;61,5;53,6;77,4;93,6;67,8;75,5;72,5
MT;Cáceres;Não capital;48,2;62,9;61,8;28,5;60,3;12,4;56,2;34,1;27,2;52,5;46,9;60,8;51,7;58,6
GO;Caldas Novas;Não capital;50,7;63,2;52,4;40,5;72,1;23,4;55;40,5;19,1;59,8;62,5;59,6;65;31,4
MS;Campo Grande;Capital;53,7;67,8;66,9;44,9;37,4;40,8;45,7;57,8;20,7;74,8;68,8;50,6;56;56,4
MS;Corumbá;Não capital;51,7;62,3;57,1;37,4;59,7;27,9;56,8;43,8;43,9;71,7;51,6;51,8;56,7;49
MT;Cuiabá;Capital;63,5;77,5;70,9;51,6;45;61,8;72,2;55,4;50,7;76;65,5;71,3;60,2;65,7
PR;Curitiba;Capital;70,6;81,7;75,7;66;71,2;59,2;59,8;52,6;55,9;81,2;92,2;72,8;84,4;54,9
MG;Diamantina;Não capital;55,5;71,1;65,7;50,3;59,4;33,8;46,8;63,1;29,4;47,6;48,9;57,3;60,7;71,3
PE;Fernando de Noronha;Não capital;48,3;73,5;33,6;33,4;64,8;58,2;34,3;27,2;50,6;52;32,6;51,2;75,5;37,5
SC;Florianópolis;Capital;66,2;83,5;72,7;70;60,3;39,6;73,1;56,3;31,2;76,3;82,3;69,8;74,4;53,8
CE;Fortaleza;Capital;62,4;79,2;78,2;62,8;52,2;44,9;50,5;40,4;54,1;73,5;81,5;61,6;53,4;64
PR;Foz do Iguaçu;Não capital;70;74;76,5;69;74;86,8;66,1;65,3;73,6;65,5;74,9;53,9;75,7;47,5
GO;Goiânia;Capital;62,6;73,8;69,8;60,3;49,1;25,4;64,9;67,2;35,7;64,6;86,5;69,4;72,7;66,1
RS;Gramado;Não capital;56,9;67,2;60,9;60,6;68,6;42,2;60,5;33,7;25,1;75;58,1;52,5;56,2;60,3
SP;Ilhabela;Não capital;51,2;61,2;58,8;44,1;42,4;38,7;69;64,7;49,1;42,5;28,2;70,5;56,5;39,3
PE;Ipojuca;Não capital;38,6;61,3;38,9;24;52,2;30,7;41,6;13;27,4;64,1;23,9;52;28,4;36,1
CE;Jijoca de Jericoacoara;Não capital;35;49;39,6;32,4;50,2;25,4;23,2;38,5;2,6;39,8;16,8;39,5;53,2;27,2
PB;João Pessoa;Capital;66,1;79,1;69,4;64,3;60,4;49,9;70,7;61,8;67,5;60,3;83,2;68,2;63,1;56,7
BA;Lençóis;Não capital;48,6;64,1;37,8;32,3;67,2;17,5;59,1;70,1;41,4;46,7;35,2;47,3;66,8;50,3
AP;Macapá;Capital;50,4;51,9;50,4;50,9;49,2;30,2;53;22;40,3;55,4;51,6;58,3;69,7;68,2
AL;Maceió;Capital;57,1;61,6;68,4;68,8;55,5;39,8;54,7;30,1;26,5;63,5;67,9;47,6;69;68,2
AM;Manaus;Capital;63,1;67,3;70;59,8;74,2;31,8;50,3;52,8;41,8;72,6;90,3;59,9;71,4;66,6
AL;Maragogi;Não capital;42,4;58,6;33,2;32,9;58,6;23,2;56,1;66,8;14,7;44,9;20,4;42,9;62,9;32,1
BA;Maraú;Não capital;43,8;35,2;37,2;29;51;54,4;57,2;74,1;15,8;42,6;24,7;45,5;50,7;59,2
BA;Mata de São João;Não capital;48,5;47,5;54,8;24,1;66,1;53,2;47,9;62,6;35,9;45,7;30,7;60,3;56,6;44,8
TO;Mateiros;Não capital;33,9;30,3;22,4;35,5;63,1;43,3;37,2;38,4;17,3;16,4;12;30,4;50,2;37,6
RN;Natal;Capital;62;61,9;63,5;70,8;54,6;48,8;50,9;73,7;30,4;54,5;80,2;71,8;72,8;63,3
CE;Nova Olinda;Não capital;35,9;55,3;24,6;7,9;39,8;36,3;32,6;63,1;2,7;41,5;21,1;37,3;54,7;54,8
MG;Ouro Preto;Não capital;64,3;64;57,8;45,4;74,8;71,8;67,8;70,7;59,3;52;60,3;70,6;68,4;79,1
TO;Palmas;Capital;52;73,7;61;37,3;38,2;27,4;56,6;52,7;47,1;48,9;64,4;42,1;74,5;47,8
PR;Paranaguá;Não capital;55,1;72,9;48,2;44,4;56,1;38,4;60,6;54,3;35;68,6;49,5;61,2;68,6;56,4
RJ;Paraty;Não capital;51,6;69,4;65,4;43,4;65,8;62,6;31,9;43,4;1;45,9;37,9;51,2;51,9;71,4
AM;Parintins;Não capital;46,5;49,1;35,3;45;57,2;21,5;48,4;48;47;44,1;43;65,1;60,2;45,2
PI;Parnaíba;Não capital;42,3;62;56,4;28,8;55,3;12,1;41,4;28,4;5;35,6;42,1;59,5;50,7;48,7
RJ;Petrópolis;Não capital;57,7;64,2;68,1;44,6;67,6;36,7;56,5;48,8;44,8;55,5;59,7;60,1;69,3;65,8
GO;Pirenópolis;Não capital;55;61,3;45,7;45,2;64,4;59,1;63,3;62,8;43,2;67,5;30,4;55,7;57,6;62,3
RS;Porto Alegre;Capital;67;77,9;80,1;69,8;61,7;54,3;66;33,6;43,7;80,7;87,9;69,2;66,8;61
BA;Porto Seguro;Não capital;57,5;54,9;69;54,7;63,6;36,4;70,8;62,8;30,6;45,9;68,8;56;68,4;53,6
RO;Porto Velho;Capital;45,7;50;59,9;33;39,4;27,8;46,9;42,2;0;49;61,7;59,4;64,9;46,8
PE;Recife;Capital;72,9;80;73;71,8;66,1;84,8;73,9;58,3;71,9;77,7;90,9;62,9;56,9;77,1
AC;Rio Branco;Capital;49,3;59,2;62,1;41,6;46;20,5;53,9;38,8;9,8;73,5;51,7;60,9;62,9;46,9
RJ;Rio de Janeiro;Capital;73,9;82,4;87,9;73,4;87,7;67,2;69,2;28,3;61,1;80,6;91,4;66,8;68,1;74,1
BA;Salvador;Capital;72,4;74,9;83,4;68,9;85,4;47;64,1;61,6;44,8;70,5;90,5;71,6;74,2;87,7
PA;Santarém;Não capital;52,2;60,1;64,2;51,7;55,7;27,5;44,6;50,2;59,8;42,7;55,4;60,5;53,6;44,1
SC;São Joaquim;Não capital;39,8;67,8;50,8;28,4;45,3;29,5;41;28,1;5,9;58,9;33,9;40,7;30;35,3
MA;São Luís;Capital;59,8;61;57,8;60,9;60,1;39,3;53,3;41,8;42,1;72,5;80,8;63,9;67,8;72,2
SP;São Paulo;Capital;74,2;82,8;90;81,1;76,1;75;67,1;33,5;68,4;81,5;94;62,1;68,2;63,3
PI;São Raimundo Nonato;Não capital;35,1;59;25,3;19,5;65,3;17,2;29,8;10;1,4;32,7;28,1;45,1;60,1;46,9
PI;Teresina;Capital;47,3;57,6;58,6;44,5;46;23,5;43,6;14,6;5,4;55,2;70,8;58,9;67,1;48,1
RN;Tibau do Sul;Não capital;41,9;48,1;41,7;36,3;41,2;22,4;55,9;71,9;24,8;26;16,5;56,7;72,8;30,2
MG;Tiradentes;Não capital;44,8;65,8;53,3;30,8;58,7;29,1;30,8;60,6;12,1;46,6;23,6;47;58,7;48,1
ES;Vitória;Capital;62,3;77,2;61;58,6;50,1;50,4;70,9;55,5;44,9;75,2;75,7;58,9;56,9;72,1
